user_id,rank,item_id,rating,label,train_degree
0,1,282,2,0,10
0,2,265,5,1,7
0,3,12,4,1,6
0,4,226,1,0,5
0,5,198,3,1,8
1,1,189,2,0,7
1,2,264,2,0,15
1,3,219,1,0,10
1,4,164,2,0,8
1,5,44,1,0,4
2,1,188,2,0,13
2,2,173,2,0,10
2,3,180,1,0,4
2,4,220,2,0,9
2,5,218,5,1,8
3,1,280,3,1,10
3,2,208,5,1,7
3,3,293,2,0,8
3,4,181,1,0,2
3,5,224,3,1,17
4,1,150,4,1,10
4,2,200,4,1,15
4,3,284,1,0,4
4,4,70,2,0,3
4,5,126,3,1,17
5,1,249,4,1,39
5,2,218,4,1,8
5,3,280,2,0,10
5,4,271,3,1,8
5,5,180,3,1,4
6,1,247,3,1,30
6,2,175,3,1,7
6,3,249,4,1,39
6,4,243,2,0,15
6,5,179,1,0,5
7,1,218,3,1,8
7,2,208,2,0,7
7,3,40,2,0,7
7,4,214,1,0,12
7,5,203,2,0,8
8,1,18,3,1,10
8,2,254,2,0,12
8,3,290,3,1,19
8,4,258,1,0,6
8,5,240,2,0,8
9,1,192,3,1,5
9,2,252,3,1,48
9,3,143,1,0,21
9,4,245,4,1,5
9,5,276,5,1,8
10,1,247,4,1,30
10,2,238,3,1,12
10,3,258,3,1,6
10,4,285,1,0,9
10,5,246,2,0,32
11,1,171,2,0,7
11,2,150,5,1,10
11,3,167,2,0,9
11,4,294,3,1,7
11,5,221,4,1,9
12,1,218,4,1,8
12,2,197,3,1,8
12,3,275,4,1,7
12,4,286,3,1,8
12,5,109,1,0,12
13,1,82,4,1,7
13,2,125,1,0,17
13,3,271,5,1,8
13,4,58,1,0,11
13,5,169,2,0,6
14,1,279,3,1,17
14,2,169,2,0,6
14,3,286,3,1,8
14,4,231,2,0,15
14,5,268,2,0,11
15,1,292,4,1,15
15,2,249,3,1,39
15,3,210,5,1,8
15,4,296,1,0,11
15,5,203,2,0,8
16,1,151,1,0,6
16,2,235,1,0,13
16,3,251,1,0,22
16,4,100,1,0,30
16,5,259,1,0,10
17,1,266,3,1,13
17,2,205,3,1,6
17,3,254,2,0,12
17,4,251,3,1,22
17,5,167,1,0,9
18,1,175,4,1,7
18,2,244,1,0,16
18,3,180,2,0,4
18,4,198,3,1,8
18,5,251,2,0,22
19,1,291,3,1,16
19,2,221,2,0,9
19,3,203,1,0,8
19,4,166,4,1,10
19,5,69,1,0,4
20,1,214,1,0,12
20,2,183,1,0,5
20,3,196,1,0,7
20,4,70,1,0,3
20,5,79,3,1,21
21,1,298,4,1,11
21,2,200,3,1,15
21,3,213,4,1,10
21,4,273,4,1,14
21,5,231,4,1,15
22,1,220,4,1,9
22,2,48,4,1,12
22,3,123,4,1,17
22,4,88,4,1,21
22,5,269,3,1,7
24,1,296,2,0,11
24,2,261,2,0,3
24,3,170,2,0,6
24,4,204,3,1,2
24,5,96,4,1,35
25,1,237,5,1,16
25,2,271,3,1,8
25,3,257,3,1,18
25,4,157,2,0,12
25,5,151,1,0,6
26,1,213,3,1,10
26,2,267,5,1,17
26,3,154,4,1,6
26,4,297,4,1,17
26,5,161,5,1,11
27,1,144,1,0,29
27,2,244,1,0,16
27,3,263,4,1,18
27,4,27,1,0,3
27,5,171,2,0,7
28,1,218,5,1,8
28,2,172,3,1,7
28,3,197,1,0,8
28,4,217,2,0,8
28,5,60,2,0,3
29,1,273,4,1,14
29,2,213,5,1,10
29,3,112,1,0,14
29,4,113,1,0,12
29,5,6,1,0,8
30,1,219,3,1,10
30,2,157,4,1,12
30,3,155,5,1,18
30,4,204,4,1,2
30,5,116,1,0,12
31,1,65,1,0,1
31,2,256,3,1,14
31,3,124,1,0,3
31,4,191,4,1,9
31,5,33,1,0,8
32,1,244,1,0,16
32,2,268,3,1,11
32,3,284,1,0,4
32,4,165,1,0,10
32,5,237,4,1,16
33,1,295,2,0,15
33,2,265,2,0,7
33,3,276,1,0,8
33,4,193,2,0,13
33,5,217,3,1,8
34,1,257,4,1,18
34,2,292,3,1,15
34,3,296,3,1,11
34,4,165,4,1,10
34,5,226,1,0,5
35,1,227,5,1,19
35,2,182,3,1,8
35,3,165,4,1,10
35,4,198,4,1,8
35,5,262,4,1,17
36,1,269,5,1,7
36,2,266,5,1,13
36,3,223,5,1,12
36,4,213,5,1,10
36,5,201,1,0,5
37,1,199,3,1,17
37,2,194,3,1,8
37,3,273,1,0,14
37,4,240,1,0,8
37,5,171,3,1,7
38,1,285,4,1,9
38,2,232,3,1,4
38,3,244,3,1,16
38,4,139,1,0,9
38,5,183,3,1,5
39,1,231,5,1,15
39,2,266,5,1,13
39,3,223,1,0,12
39,4,240,5,1,8
39,5,283,5,1,8
40,1,271,4,1,8
40,2,272,4,1,11
40,3,160,2,0,6
40,4,268,4,1,11
40,5,167,1,0,9
41,1,282,5,1,10
41,2,253,2,0,26
41,3,203,3,1,8
41,4,43,1,0,8
41,5,189,5,1,7
42,1,280,1,0,10
42,2,285,2,0,9
42,3,291,2,0,16
42,4,213,2,0,10
42,5,81,1,0,7
43,1,272,3,1,11
43,2,296,3,1,11
43,3,247,2,0,30
43,4,55,2,0,4
43,5,295,3,1,15
44,1,196,4,1,7
44,2,218,2,0,8
44,3,164,2,0,8
44,4,258,1,0,6
44,5,294,1,0,7
45,1,295,4,1,15
45,2,212,2,0,13
45,3,189,1,0,7
45,4,223,1,0,12
45,5,116,1,0,12
46,1,268,3,1,11
46,2,247,2,0,30
46,3,166,4,1,10
46,4,223,2,0,12
46,5,130,2,0,6
47,1,72,4,1,11
47,2,171,3,1,7
47,3,236,3,1,17
47,4,167,2,0,9
47,5,66,4,1,8
48,1,157,3,1,12
48,2,150,1,0,10
48,3,298,2,0,11
48,4,168,4,1,6
48,5,75,4,1,10
49,1,238,4,1,12
49,2,177,3,1,5
49,3,183,3,1,5
49,4,233,4,1,23
49,5,250,4,1,20
50,1,252,4,1,48
50,2,188,5,1,13
50,3,208,2,0,7
50,4,269,2,0,7
50,5,261,3,1,3
51,1,237,4,1,16
51,2,141,3,1,22
51,3,216,3,1,3
51,4,42,5,1,6
51,5,173,3,1,10
52,1,261,3,1,3
52,2,295,2,0,15
52,3,66,3,1,8
52,4,219,2,0,10
52,5,250,1,0,20
53,1,69,3,1,4
53,2,208,2,0,7
53,3,176,1,0,5
53,4,140,3,1,2
53,5,128,1,0,5
54,1,217,4,1,8
54,2,245,4,1,5
54,3,216,2,0,3
54,4,288,5,1,16
54,5,244,3,1,16
55,1,269,3,1,7
55,2,279,3,1,17
55,3,243,4,1,15
55,4,230,2,0,8
55,5,187,3,1,11
56,1,209,3,1,4
56,2,91,3,1,10
56,3,257,4,1,18
56,4,272,3,1,11
56,5,42,4,1,6
57,1,209,3,1,4
57,2,213,5,1,10
57,3,187,3,1,11
57,4,178,2,0,10
57,5,162,1,0,8
58,1,229,4,1,22
58,2,261,1,0,3
58,3,92,2,0,14
58,4,114,3,1,19
58,5,276,1,0,8
59,1,197,4,1,8
59,2,284,1,0,4
59,3,178,1,0,10
59,4,14,1,0,2
59,5,239,1,0,3
60,1,200,3,1,15
60,2,292,2,0,15
60,3,177,4,1,5
60,4,56,1,0,2
60,5,220,5,1,9
61,1,201,1,0,5
61,2,163,2,0,4
61,3,228,1,0,16
61,4,208,3,1,7
61,5,152,1,0,3
62,1,191,3,1,9
62,2,46,1,0,8
62,3,48,1,0,12
62,4,207,1,0,5
62,5,159,3,1,9
63,1,228,3,1,16
63,2,241,1,0,19
63,3,106,1,0,9
63,4,95,2,0,11
63,5,216,4,1,3
64,1,244,1,0,16
64,2,260,4,1,16
64,3,240,3,1,8
64,4,71,2,0,24
64,5,271,2,0,8
65,1,268,4,1,11
65,2,208,3,1,7
65,3,221,3,1,9
65,4,278,5,1,12
65,5,195,1,0,6
66,1,157,5,1,12
66,2,240,3,1,8
66,3,53,1,0,2
66,4,210,4,1,8
66,5,191,4,1,9
67,1,200,3,1,15
67,2,247,2,0,30
67,3,164,1,0,8
67,4,221,1,0,9
67,5,231,1,0,15
68,1,251,2,0,22
68,2,172,4,1,7
68,3,143,2,0,21
68,4,196,4,1,7
68,5,281,3,1,4
69,1,281,5,1,4
69,2,259,4,1,10
69,3,151,1,0,6
69,4,254,1,0,12
69,5,191,4,1,9
70,1,156,3,1,4
70,2,238,3,1,12
70,3,166,4,1,10
70,4,225,3,1,6
70,5,56,1,0,2
71,1,142,5,1,34
71,2,104,3,1,17
